Timestamp,City,Country,Latitude,Longitude,Temp_C,Temp_F,FeelsLike_C,FeelsLike_F,Humidity_%,Wind_kmh,Wind_Dir,Wind_Deg,Rain_mm,UV_Index,Pressure_hPa,CloudCover_%,Visibility_km,Condition,WMO_Code
2026-06-17 00:15:17,New York,United States,40.7128,-74.006,20,68.0,18,64.4,66,16,SSE,160,0.0,0,1007,4,24.9,Clear Sky,0
2026-06-17 00:15:17,London,United Kingdom,51.5074,-0.1278,18,64.4,17,62.6,79,14,WSW,238,0.0,0,1014,100,20.7,Overcast,3
2026-06-17 00:15:17,Tokyo,Japan,35.6762,139.6503,24,75.2,26,78.8,66,5,SSE,167,0.0,6,1016,22,29.8,Mainly Clear,1
2026-06-17 00:15:17,Sydney,Australia,-33.8688,151.2093,16,60.8,16,60.8,80,8,W,270,0.0,2,1017,49,46.6,Mainly Clear,1
2026-06-17 00:15:17,Dubai,UAE,25.2048,55.2708,27,80.6,30,86.0,67,13,S,171,0.0,0,1001,0,16.1,Clear Sky,0
2026-06-17 00:15:17,Paris,France,48.8566,2.3522,21,69.8,22,71.6,70,4,NNE,15,0.0,0,1015,29,37.3,Mainly Clear,1
2026-06-17 00:15:17,Singapore,Singapore,1.3521,103.8198,24,75.2,29,84.2,99,4,ENE,75,0.1,1,1007,99,1.9,Light Drizzle,51
2026-06-17 00:15:17,Los Angeles,United States,34.0522,-118.2437,23,73.4,23,73.4,57,14,WSW,258,0.0,4,1000,3,29.1,Clear Sky,0
2026-06-17 00:15:17,Mumbai,India,19.076,72.8777,28,82.4,34,93.2,82,2,W,270,0.0,0,1008,92,7.5,Overcast,3
2026-06-17 00:15:17,Cairo,Egypt,30.0444,31.2357,23,73.4,25,77.0,81,8,N,355,0.0,0,1012,36,29.6,Mainly Clear,1
2026-06-17 00:15:17,Sao Paulo,Brazil,-23.5505,-46.6333,13,55.4,13,55.4,97,4,SE,133,0.0,0,933,99,8.1,Overcast,3
2026-06-17 00:15:17,Moscow,Russia,55.7558,37.6173,11,51.8,10,50.0,91,7,SSW,208,0.0,0,990,42,21.3,Partly Cloudy,2
